Commit,EstimatedTime,Message,RealTime 
9072bbc1fde5b0ed2b8cd0b5871304296a8ab187,12,,make: *** No targets specified and no makefile found.  Stop.
a4d38cf95ca63d9caf7923bde19cbe8ba7423868,43.8,The build files have been changed. Prediction may not be accurate.,2646.54
181c986299dd3644fce3268839a46a7c9dd8baa7,12,This commit contains no changed file,12
90bd4468ef3bab0ae05116093f83469a47b52763,12,This commit contains no changed file,12
8c3c7940ca7ca03d646af25f07934f38698f8875,12,,11.47
9a71258890d2e7e496294fc0e6fb15fe62f58ac4,39.150000000000006,,39.44
bfb3731d7596dfc661c480265dd0a5f098c8ff00,12,This commit contains no changed file,12
7bbbba2613ed6a4e6bda71de88238667035c7229,12,The build files have been changed. Prediction may not be accurate.,11.26
708c3a5cef71964f20a82ef0524f0ee7543304aa,65.40999999999997,The build files have been changed. Prediction may not be accurate.,2646.87
ff58f45e5ffc23a64e9c5a803f0d9b010cd5d540,12,This commit contains no changed file,12
5f18d211c9d98ed3f071f6df26c3d6dc71092810,51.96000000000001,,51.46
d103ddd02373cafbcfa7e40929df6ed857f0ab24,12,This commit contains no changed file,12
0edf2de49f980f2f6a300181429cea7f3d28dffd,12,This commit contains no changed file,12
55f166898a00151cad9d1c6269cf8e5c86e8994a,16.93,The build files have been changed. Prediction may not be accurate.,142.73
0805ab93c97ad55c4d7db1dfd7cc2664235e625a,12,This commit contains no changed file,12
816a0f60cccdab255c9192519efbb738cab27b4a,54.230000000000004,The build files have been changed. Prediction may not be accurate.,2644.57
200a974f34b95158da609be8f631a0008b336dd6,35.870000000000005,,36.70
3027ed2cb6763ef9fb6f9d0ca3c2c0f71fa00f57,12,This commit contains no changed file,12
85f6df4dcf6cd2b4a07a56eb773fe6989cf6f448,12,This commit contains no changed file,12
1a04e8a15d501e0a2895e70b4de97a9c109bbb81,12,This commit contains no changed file,12
7e8454b9fbbe674cf42d416c9ed259edb26b68a7,12,The build files have been changed. Prediction may not be accurate.,2645.22
c9f7a5e0432b12a33228f543393669497457d2e3,17.27,The build files have been changed. Prediction may not be accurate.,2999.06
6495a54096caeca9ee2f9f172bf86c2df877ad59,12,The build files have been changed. Prediction may not be accurate.,2644.96
d8795a803250999918f8f59ba17a44d324ca9d2e,12,This commit contains no changed file,12
2c875d25d8b0eeae5010496a326047233ad1f2d4,12,The build files have been changed. Prediction may not be accurate.,2645.01
7ee82e46559aaebf6283e53cf0ff5d01fae2ffa5,12,This commit contains no changed file,12
25a0716270df8006aa7d38d6e7be289384710569,12,This commit contains no changed file,12
88fc9aaa6b3101d1638be361c78dcfea7212e259,12,This commit contains no changed file,12
bf47973dcb93a07ec7142bc3c85816f06aefbb26,12,This commit contains no changed file,12
575209ddb070da9c568972b6d1560d3af315eee3,12,This commit contains no changed file,12
d5c79cc00f01dcab1ac272239e7b0e85a5c0a659,12,This commit contains no changed file,12
f658e90ef91444023eaf5dc3b89e147aaa60ccc3,12,This commit contains no changed file,12
ac7a28f9d6dc961d7d6198d2819b7ea4b0fe9255,72.28999999999999,,71.67
d3cf0c5b889c11acabdfddddfddf359778a03cf3,12,This commit contains no changed file,12
be6596d576f6db5b44d53f14d4c523e59b77681c,12,,11.36
029c8002e5452af4a834c838f0e79b938eea9c45,52.690000000000005,,53.71
a4275ab0fad6429f41e1a9426b2ebe69b022c3a7,12,,11.32
d5a549c9cab01ab9cd4c9a346796e4fa64cd17a6,12,The build files have been changed. Prediction may not be accurate.,141.05
417d6fded833f95ed9cb3f61331c9b79c4b7fbcb,21.689999999999998,,20.76
9d96017ac3c0ae461500a953ba40dad3b175bd62,12,,11.37
cff62a106f99c9bac3d1bc4a4e449d28b7d94285,78.92,The build files have been changed. Prediction may not be accurate.,80.14
ae30efa55ecf18264243e20a40a72391d8f6b2a3,12,This commit contains no changed file,12
7794d4dc43875ccfa7b6bf525cdeaaa571945dd4,12,This commit contains no changed file,12
1c6dadde954cf0823e97f5f52920649c2724be53,12,This commit contains no changed file,12
0c09dd3a6832e5c13e6afb6f2fdfcc6bfe0df35c,12,This commit contains no changed file,12
cfde98ae1a2e5358066d6c207aee6b11e68f570d,12,This commit contains no changed file,12
3daf2583e032b94a01081f20ef74bd3ae46359bf,12,,11.37
e4b922d0f9a349b8a17e19ccd5c77facaeb1099d,12,This commit contains no changed file,12
263583d1ced875bc422325dc6123d0309b0612ed,72.13,,70.53
2f9e52b047e89d08ea333acc40d738af5d6315ae,12,This commit contains no changed file,12
ef49e577a8469f4ff9dcbb795ec08591f29f63dd,12,,11.49
864aab9e10a25c00ffca8c3317f9a18fd00fb330,12,This commit contains no changed file,12
67ac5569f28ab2a797ce830e914f2fa53d1b82d9,12,This commit contains no changed file,12
f10e8016b8095b2043f4db345f594d95fcaf94bd,12,This commit contains no changed file,12
739417e785953bc9fdf8fd216eee2ef35f7d20e6,12,,11.30
cf42ad5ee673b21020a588b05e5035720f10b73b,12,,11.30
02093ed4d064ef8f10cd7a281fb083f56e4e526a,44.67,,44.31
693fd6ed3245d60bdcd7e07677f8e7068ebea5db,12,This commit contains no changed file,12
7fee2947adb261adb653557232017da0099d075b,12,,11.30
619ad8a6d9548bf209dab737ebecb86cfd18a789,21.07,,20.03
527f3383781735fcb53b6b82c149a60a9af87934,12,This commit contains no changed file,12
bd178b007bf74d8b47bf2b498e4d2b36263c924a,12,This commit contains no changed file,12
63778824dee2915d3f95eb51d6cea5f2599f9f1f,12,This commit contains no changed file,12
0fae2279506641420203bb6ffcdec5a7eb991a3b,12,This commit contains no changed file,12
7fb4917c62b47b9605c1e73f531a2d69d7c8c63b,12,This commit contains no changed file,12
7c8572e04d1f32a88c07c51d14676fc54c9454d0,12,,11.19
db20eb757577514c2728fcd2cf647c275d3861e0,12,,11.27
1b1e8a5ba3019836f9f3d64e2df433ecf65e1f12,13.290000000000001,,11.86
c2bd54f7b45241fc8bc09c5af5167365f1651ff6,14.3,The build files have been changed. Prediction may not be accurate.,142.48
182807c3dc59d7dd18a9611cc26043a2eec0dfe2,32.76,,31.95
f04cf077ddc62bf527247e5c815ffbc22768a85a,12,This commit contains no changed file,12
9d1521090656fb6a6f688b53805b222b2cef7570,34.49000000000001,,34.19
d1a7921ca05f538366a1d750278660308cb71c06,34.78,,34.97
98af77a1b70011280bb7c2b20b329489562ac5c3,12,This commit contains no changed file,12
c15a4dac1cea96b2d42303d42d2672d3e51a659a,12,This commit contains no changed file,12
034179503572301a3091879b67dd555bc4786308,54.170000000000016,,55.23
415163dbcc8d833d80244141051b1f181d8cd561,54.170000000000016,,53.98
fee87449bf6fdab541638674dd5ee4a765d365aa,34.09,,33.50
1f4ff9d891fdcdc6cedd6fb0996724b5b3b45a0a,34.53,,34.65
5589c067491eb4d330d5b505cdcb4471de683d50,12,This commit contains no changed file,12
0a04250476c71ab01e093b622244b463053080dd,12,This commit contains no changed file,12
993a5ed362c00c11c36216586d33a569c168df8b,12,This commit contains no changed file,12
4421cbad7fbcf66a4b85c19c5d0dcf5b543c2d3d,12,,11.15
8efe833af74a795b018ca09491ca0aeaa527b32f,12,,11.40
2cf6c71f33f45eb931b19653165019c8f17b2f83,61.74000000000001,,60.76
f4551744eec8015b1c4ba72f8f06a7131bc97cf1,12,This commit contains no changed file,12
089044f0d8041aad4cd95fc9ce3259e932aa5287,12,,11.24
18772c2cf57308c1eb5371590b51edd7b6ed7c52,12,This commit contains no changed file,12
26ee6f22c2513151cd740b144daf26ec29cae787,60.59000000000002,,62.05
37114625938d98d91d6d3120e918d1e1040c24c2,53.68000000000001,,53.99
a96566820d94329e09a896b9a5a74f825e15f3e7,12,This commit contains no changed file,12
0dc32341c6b6d428a0670371474d003f7ae82bf7,12,This commit contains no changed file,12
f6c3cc4a8978b943f4ddd1c103308d84d18cc1d6,1079.539999999999,,1084.98
a7a1c1039c4f36ac1130d8313e6a109c459c44c2,12,This commit contains no changed file,12
8d8b2bd43353f2548476609cd364800023a1ec34,66.40999999999998,,65.32
9d7356ed189bd2075ae68eba024f96269d35df24,1079.149999999999,,1084.74
3298ad05ec90267f6c8c829f8a8abc1e2b1fc6b3,67.16999999999999,,65.69
c79ca6b3e9b8bdcba569a29a9e13540b059ab004,1079.539999999999,,1082.24
fc4d903ced92cc3bb358c29ad3af9b262e318cbc,12,This commit contains no changed file,12
3972c2cc59a575f420dde9ba9e3dd85e52bf34e6,42.15,,11.26
aa456d97290c84f711b013723b07e96afca134a3,12,,11.20
f2038df7b9b5d07ad0e1e71594cab1655510b302,12,This commit contains no changed file,12
7e0b330b1e6bd5b8cb7ef5463d0cfe72baf7a12f,12,This commit contains no changed file,12
8402cfbb17476565edf72dea7e3547778ac26442,12,The build files have been changed. Prediction may not be accurate.,11.40
80ee339c8d3f7286c824b6312aa18e23c922f458,12,This commit contains no changed file,12
fc96d38a9bcdd0e6545e04ac82235d1ff12e774a,66.40999999999998,,11.35
e933b1c5eb6ca3789abc418c74d39b335ceac56d,12,This commit contains no changed file,12
affc0d94b3017fd6d7976b3ebb2a086e53d8b34b,34.09,,34.06
c59576ea49fb1943567ffeb4b9f8efd6be312bb7,12,,11.40
4bd8735d67368c58ea41b9935fadfc9c975d15a4,1079.539999999999,The build files have been changed. Prediction may not be accurate.,1155.17
1c2a6930bb789a099c0bace76084d5f43b06c267,142.89999999999992,,144.47
ceb8664662ef576bd789f8cc55198d53e1cccb28,1079.539999999999,The build files have been changed. Prediction may not be accurate.,In file included from /home/ruiyinw/vtk/Common/DataModel/vtkAbstractCellLinks.cxx:15:0:
340b75065dd8a91ab48da4cb11001931eb8b5a52,13.29,,In file included from /home/ruiyinw/vtk/Common/DataModel/vtkAbstractCellLinks.cxx:15:0:
6198ab4adebebeb5fce9a68e4b5510137d119b8e,66.40999999999998,,In file included from /home/ruiyinw/vtk/Common/DataModel/vtkAbstractCellLinks.cxx:15:0:
82a6c1dca10d194abf224413e8b5a35add7c4065,66.40999999999998,The build files have been changed. Prediction may not be accurate.,140.88
4296f2f0c2b4e6b36b19881efa2115fbfd344a60,12,This commit contains no changed file,12
7aabf4525b5146942c6635726acf5842f162e861,66.32999999999998,,63.91
37893da86d1da6371336b72ba859e4c574d8fdac,40.38,,38.23
3c16e52abd8fc27f85986242e08d9ddf00f95fdf,12,,11.30
80e7073ca00ef31e4ea5c776b89223a928998ed2,12,The build files have been changed. Prediction may not be accurate.,11.14
201984b91192a0d7bfe9f6ed6c40facbb695d7e7,37.44000000000001,,37.29
b23ee9f2c7f818487310578aba24c152c5b9b334,12,,11.23
b6bb2bb36b031bb0c62b76ef3854c608d94cd5cc,56.540000000000006,,56.64
8ef03947ec2cda3d306d825908c63112e6dc9fbd,13.2,,12.66
ed7b14db9c980f0bb4849d841f642237e77821b9,67.03,,65.00
c3ad86f2e64c39e865fe86238459e07a23c7bed4,67.10999999999999,,65.99
dc0c74b4ee38c2e5d48cbf473f50bd6c1e54675f,39.769999999999996,,40.16
21de87cae1bc71fb7ac7c9c1707002e6db831df1,19.37,,19.26
58276699bbbc8cd711551efbde1be061e5328206,42.56999999999999,,42.06
89f898975456d58c7594867c8c423ab5aa2aaa2e,12,This commit contains no changed file,12
3a8e4497f83de76b455159dc897f3157079b868a,945.9899999999991,,951.00
7cd3bfd2559d948942f0e073afbcd1ed8faee69b,12,The build files have been changed. Prediction may not be accurate.,2742.93
41be444fd9a8381bf20750b307c988f91a43e350,12,The build files have been changed. Prediction may not be accurate.,2806.58
e41504974eb35cc400afedf5d908b877d68d6632,13.98,,13.32
f059541f51a08d17797a0af6ef3878499fcb45c4,12,This commit contains no changed file,12
8bd5a1ff2294ae8a480b6fd24536957ba8adddcd,49.73,,11.26
804902b1f920c047058772294a892f088559bbcf,12,,11.27
25f0495b1c833aef8e643e707990915ca7f5abfc,65.86999999999999,,65.13
7b010075bb944db0444a8231b3c3173b2b9f4694,81.32999999999997,,82.30
7d4bccc9fff2bb3ed3a6ef5330fb33cca57f157d,12,This commit contains no changed file,12
d9b727cce3d3395c8ca14ef1b51bdb847debe56d,13.620000000000001,,12.92
d72068682ed85e43cad7d2ac2d14cd1ece31f733,15.45,,14.78
eae76a8f51b0ca391ef1d75a0c9df9fd0660bf8e,66.32999999999998,,11.45
5234e0b8c1d93f96c12fcdaf5cb2b5a926fa3ce7,12,,11.89
836fc076a0d544347e23b501c96f0ebdd08cf164,12,,12.01
13c69c8f8caed881d330b5689d4f96a4339ffbe2,12,,11.48
5b6e9c4972e55c0c5dc18d50f8b9c2e9c39212f9,12,,11.26
2592e61768c5d8d7383a522bc7477925d8fe2633,12,This commit contains no changed file,12
71aeca1c78787a7ef7f61f7b7d2dc4e588971e62,12,This commit contains no changed file,12
be314272d8fa9efff43b3cceed960f99768169be,12,This commit contains no changed file,12
b87beeed7430579317a55d23b6c8839ee6d79700,12,,11.48
62fbfd2bf970a90c47cfe4d90cc985db78c967fb,66.32999999999998,,12.50
c3b1c5282ae1f0e6d3542d14e04ffb398af291e0,12,This commit contains no changed file,12
25f7d39c62c1a36be96845e606e1826af3d8c569,12,This commit contains no changed file,12
da66b4bb483015ec9b8e49dd47ee04a2100f36cc,12,This commit contains no changed file,12
8b95271baadd4d99c34add4c9d2fffb4314b4cb5,13.620000000000001,,12.49
