Commit,EstimatedTime,RealTime,Difference,Message
41df41550fa95d34f256f051794947e53a0ab56b,12.29,9.11,3.18,
2f05d1454e0ce106b23a3d9626950602bd609fea,186.29,67.02,119.27,The build files have been changed. Prediction may not be accurate.
e47904a26f399d3870e22fbfaefab5d1ab6a7e23,14.14,10.25,3.89,
5974428d2561b13072d627f85f012886f0df7ab8,187.62,161.85,25.77,
e4aaae4ed689669a8530d0b79d4523eeb12554ad,189.32,179.75,9.57,
4e3cd88c2b9c55b4fd2f93abe7795c4f7b9bf292,10.72,7.87,2.85,
f8f344923eba57ca13d82e53f3e7b82633179f43,5,2.45,2.55,
999711abc82ea3a698d05977f9f91c0b73957f7f,12.15,8.74,3.41,
75589956a4ce3a78899ac9562dd43b431921108c,5,2.45,2.55,
62f320e6bb09b4e6454e6a49dc3a844b13b9cc34,11.55,8.05,3.5,
e118856430a798bbc529691ad235fd0b0684439d,15.08,10.75,4.33,
99bdfd1bcb921c987b29a0780fa7c50c3155341e,189.19,69.11,120.08,The build files have been changed. Prediction may not be accurate.
28f01600315cec9e44a8ed656fb9210bfebaf887,188.4,69.42,118.98,The build files have been changed. Prediction may not be accurate.
3301b852a20b3d1f75592d03dd4038d3ea2fed7c,12.23,9.33,2.9,
bd0911afda3e087b80c93713a9a9866267857583,5,3.16,1.84,
52f116e874c783789bda3ddc67df61729834bf49,124.72,119.13,5.59,
24b078126451cb90c2aaeb4d3e1759006218cde9,11.81,8.63,3.18,
a772c28c9511e76b003ded67b033d08e36adbdcb,12.67,9.55,3.12,
38c4e31c8a8f7e69839e58e1470bf9fcc102e1c3,158.24,146.13,12.11,
59ec2912e481e158a0ccc8efd6ab82acc6deac9a,5,2.52,2.48,
985ae37d198bef5bf386416a46f944d9952940be,12.67,9.1,3.57,
fcaa3fb1891af959bafcdc2541f7e637d7eb079c,11.81,8.15,3.66,
d16abd3df3dab2851e4c7880269502f203c19f5d,11.49,7.99,3.5,
026368add7e7dd5b8e7f6857488e6578774275a4,12.32,8.74,3.58,
35bd69202d56957a82251652498f139c4faff5e6,5,2.47,2.53,
e9cf9f2c59e3af819e6d6a339077be5652daaf2b,186.6,66.63,119.97,The build files have been changed. Prediction may not be accurate.
21ad4c800c8624bdb750da5afbda6cca44e64bbe,5,2.47,2.53,
283c565af6a8a68015a078776c10f7103ba2c485,12.36,8.68,3.68,
f45ec47be1244fd16be339dd5be37af3506e05ca,5,2.46,2.54,
d09c219696512d5f365e0920c106b58c0d70bd19,11.78,8.1,3.68,
28dcafa09b4168cc586cb493f46c2df58442f1f1,5,2.5,2.5,
b0de81f4947d4830499d494033705ad46d17aae9,5,2.56,2.44,
41888493f04bfcc42d5287267708edcc49d7b4ea,12.08,8.41,3.67,
f55a5b69b7d8af8872bf785810db8fa8cd7bf905,5,2.5,2.5,
b32c0f2f49c8778fb7ccc3fa1a2c94d017d6201d,5,2.49,2.51,
14885a5b1964f5a324714ce52302b48fa54515e9,5,5.17,-0.17,The build files have been changed. Prediction may not be accurate.
f384d20d80fc36ba86f73a885838a4903604a5e0,186.55,71.55,115,The build files have been changed. Prediction may not be accurate.
a668ee8fe9b82606c6bec450ae40eed1d81aebe4,5.19,7.02,-1.83,The build files have been changed. Prediction may not be accurate.
c7763d0712696ae153f2405017221050637908f3,5.97,4.95,1.02,
58f56b24601838d76a8fda7bd48f0ebe0f9758b5,13.19,9.5,3.69,
7401dc1b0c9aab06b596eb01ec68888d075054b9,5,2.62,2.38,
b8800ddc371485f1aa3f46896650fa5c47526743,5,2.78,2.22,
8c9be18bd3dff42a2352c2dac6b8f17b243d2980,210.44,65.46,144.98,The build files have been changed. Prediction may not be accurate.
db972a73ce016afb9561be2677547efdb649274b,11.54,7.83,3.71,
27660b178e7efd1b54b0d86b2e3ebd993d7781b1,12.26,8.53,3.73,
d8a7d5f168a8ea652e8e56ae9e157a66f7181923,12.18,8.51,3.67,
37ebc83f7ff1caa0bca0140aa2e44120bddbca70,5,2.48,2.52,
622748680c807efcf1eb49bce3f0a9c08ad77484,5,2.43,2.57,
5be8cab966d65e7074dd6478d02cfa46724e479e,5,2.41,2.59,
a1bcd1e45a3eea98dedcee68f67b458e95e9193d,5,2.44,2.56,
0a580fc79e701363b12de2398e5c7428fe8af739,11.51,7.81,3.7,
c49b70f61e9818d998623458b9e0dfbd58d65f23,12.1,8.41,3.69,
bc2f448dd53345cd277ea7f69a2c5079f5383500,5,2.51,2.49,
c15b35c74e610aaf4e0ba0380c0af08a5a1f76e2,5,2.56,2.44,
e04e716ddb140d7154599f48b48514d3d91122cb,5,2.55,2.45,
54114021c11dadb3fc6f80208e5468a1efbe3733,5,2.5,2.5,
98ab9fa94f926e11a58cb0c1ccc4aaebe5a3b349,5,2.45,2.55,
745989192165110101165d17c7c3ed7410db5b92,5,2.54,2.46,
374a61f24541ae26f018f3bf1a14cc4337d0f463,5,2.93,2.07,The build files have been changed. Prediction may not be accurate.
fd6ca66c16b942d1f7d8c70468a438ad4c887c7b,5,2.49,2.51,
4569161f81e9338bb91e5a64fd1d00665bcb19e6,12.06,8.31,3.75,
7c6141a546b80866e26a12cee8b6a9f1be5b9fc6,12.38,8.71,3.67,
37756a06c9c8821e4cbc22218046b88cdc85ca90,12.27,8.58,3.69,
7d3d948947f6854507ba62e215ea681b9ef7dad3,5,2.49,2.51,
c9591c4e853e2d383f50c377839b12b7acb3d69b,5,2.5,2.5,
6aa52f469b31209ce5963bd34d2fb10ceeec2528,5,2.5,2.5,
5a8354c041af70e639dd93e700726cfc634e1850,5,2.48,2.52,
9422d9f6dd641be11f712e71719ed336972e124f,5,2.5,2.5,
2801341e5f346956d580a0fa25d0c6e12b6b85ae,5,2.49,2.51,
7bf113c95da53d8ce7480847ede52d2d6f31b9e3,5,2.55,2.45,
964707ace9208c601c7a1b45be903edee0d5de9a,5,2.45,2.55,
0064bd957d17882bc4e027b55dbc76f6a89e65aa,5,2.51,2.49,
72c339246a46a5b52c28786ad168f6d804b3679c,5,2.5,2.5,
046634375c3997e12270567dbf5f63d5e5c443b0,5,2.48,2.52,
a400a0e979f5c08bb2560131e55df6b5f06c0167,5,2.51,2.49,
658733eb04cfa0ee9d6ed0b6e15b8e43c0b1b2b4,5,2.47,2.53,
0527f97c4350574fbffac653e46bd57e4015f075,5,2.49,2.51,
522b698e0b7e62fa2049c13046c9f57251754afe,5,2.51,2.49,
988ec5aae9347d4b7d6128aea64b792704127f38,5,2.51,2.49,
8cdbc7fb2c8c876902e457abe46ee18a0b134486,12.37,8.63,3.74,
74b1dd87b5ff10ded5a09a10c36722aa5548ad63,11.72,7.92,3.8,
5efc8686ee5a12ea21d1562fddb83418d0c734b9,12.06,8.39,3.67,
5a894c32321a613393261fd8643ad93713d427fe,5.78,3.21,2.57,
f1c81da5bec82962f19ea801288c054e5c3cc664,5,2.48,2.52,
38b458ea4635d97fa7909272fb45d8c9ca7140d1,5,2.56,2.44,
b54acf513d55e3ef8df3d913dc3c78572989d3df,12.3,8.53,3.77,
96fb3b9c0361ae4c25dfb00864fa308bcc719e71,5,2.48,2.52,
6e454a99ef3c175cf36c30fe477bbc1a87cb1751,5,2.42,2.58,
dedf65a5fd346da884a65dd4781504bc15533725,5,2.45,2.55,
922cd8424a353b170320453dbedc95db5282f627,5,2.43,2.57,
007e3c5939a255b19ba65ec69b2627db310cb787,5,2.44,2.56,
7f60cbb701b11e66dc3d827100ed7a3a74a67e2e,11.57,7.76,3.81,
bffb44021182adfd83f2f973ec2dd6553b471e17,5,2.5,2.5,
8ca457a2177b513c8ee514fade54a6d84958ed59,5,2.47,2.53,
45ccd3f95177b30623b6786804b392484462794c,5,2.48,2.52,
9c7c74c587cac3c808a32b7420d68468283b917f,5,2.51,2.49,
bc5b7332b7508c4ea58d558f06444b9870a2fdd7,5,2.44,2.56,
99b30f389ee0272b5d5d256d95c4e7ea278d3cd3,186.7,72.44,114.26,The build files have been changed. Prediction may not be accurate.
73192b84f8f9c579b46d4f10bb57b679a8b25582,5,2.51,2.49,
d5cb451c515563db4542dd3e09605236dde36527,5,2.53,2.47,
ad2092bc680e434c3d17600988ec9b20f52eebef,5,4.8,0.2,The build files have been changed. Prediction may not be accurate.
53a24814f6b69039c971c8c3575cdd92ebbd1882,11.63,7.97,3.66,
7a8abb20ab5f214d8fb5713420a5dc5fd61ef79c,12.06,8.5,3.56,
5e009153548bf1ed176ea3e75f261394e9f3af74,5,2.55,2.45,
f3334b47ec6df3cd7eb1a0c7eafd15a4f21256f2,5,2.47,2.53,
13057bb73e230083c91beeece36433f2b0d70499,5,2.45,2.55,
c6bd31488a24a8c889c419f9916ea1188adabf57,5,2.52,2.48,
c13be85f2ba6732a75d917a36a8e50c6377f25d1,5,2.52,2.48,
aead1c046dd39748cca449b55ec300ba5f025365,12.49,8.9,3.59,
21c15080bd46e96ece6fb3b8cc87c7b0abaeb1e6,5,2.51,2.49,
ca10ad1f542d4fb951b5416562b1d032b8ef4573,5,2.51,2.49,
0d0db609590307ecae03627ac55265597d4a0ca0,11.49,7.89,3.6,
c40422f9e66a79845dd809e2d8d7519a20ea3746,5,2.59,2.41,
1d0f75f629f8f23089a109dc259cbfe99187fe31,5,2.5,2.5,
a484ca1bbd2f7884d45933be2ad822a4d71f93ba,5,2.51,2.49,
b32f8ba19bd05db95f65baa5074c942b3964c1d3,125.4,108.27,17.13,
15dea440c4c2a1b595b5513b458e84cd667f98b2,5,2.51,2.49,
